0.5,100,0,0,0
0.5,100,0,0,0
1,100,0,0,0
1.5,100,0,0,0
2,100,0,0,0
2.5,100,0,0,0
3,100,0,0,0
3.5,100,0,0,0
4,100,0,0,0
4.5,100,0,0,0
5,100,0,0,0
5.5,100,0,0,0
6,100,0,0,0
6.5,100,0,0,0
7,100,0,0,0
7.5,100,0,0,0
8,100,0,0,0
8.5,100,0,0,0
9,99,1,0,0
9.5,99,1,0,0
10,99,1,0,0
10.5,99,1,0,0
11,98,2,0,0
11.5,98,2,0,0
12,98,2,0,0
12.5,98,2,0,0
13,97,3,0,0
13.5,96,4,0,0
14,96,4,0,0
14.5,94,6,0,0
15,94,6,0,0
15.5,92,8,0,0
16,88,12,0,0
16.5,87,13,0,0
17,86,14,0,0
17.5,82,18,0,0
18,82,18,0,0
18.5,77,23,0,0
19,77,23,0,0
19.5,74,26,0,0
20,68,32,0,0
20.5,67,33,0,0
21,64,36,0,0
21.5,58,42,0,0
22,56,43,0,1
22.5,53,46,0,1
23,51,47,0,2
23.5,46,52,0,2
24,43,55,0,2
24.5,42,56,0,2
25,36,61,0,3
25.5,33,63,0,4
26,25,71,0,4
26.5,23,71,1,5
27,22,70,1,7
27.5,20,72,1,7
28,19,69,1,11
28.5,12,75,1,12
29,9,76,2,13
29.5,8,74,2,16
30,8,73,2,17
30.5,8,69,2,21
31,7,69,2,22
31.5,7,66,2,25
32,7,61,2,30
32.5,6,60,2,32
33,5,58,2,35
33.5,4,53,4,39
34,3,52,4,41
34.5,3,50,4,43
35,3,45,4,48
35.5,3,43,4,50
36,3,40,4,53
36.5,2,38,4,56
37,2,34,4,60
37.5,2,31,4,63
38,0,24,4,72
38.5,0,23,4,73
39,0,22,4,74
39.5,0,20,4,76
40,0,18,4,78
40.5,0,11,4,85
41,0,8,4,88
41.5,0,8,4,88
42,0,8,4,88
42.5,0,8,4,88
43,0,7,4,89
43.5,0,7,4,89
44,0,7,4,89
44.5,0,6,4,90
45,0,5,4,91
45.5,0,3,4,93
46,0,3,4,93
46.5,0,3,4,93
47,0,3,4,93
47.5,0,3,4,93
48,0,3,4,93
48.5,0,2,4,94
49,0,2,4,94
49.5,0,2,4,94
50,0,0,4,96
50.5,0,0,4,96
51,0,0,4,96
51.5,0,0,4,96
